wallet,label,quality,depth,liquidation,age,activity,volume,utilization,handP,events,closed,open
0xA8FdBc57C41fEaa30eBEe9af94E688F7764f23E2,1,0.598703,0.000649,0.001081,0.884612,0.038461,0,0,0.530834,2,1,0
0x25E0CC59482DDC8f18715b46854EeCEdccD192c5,1,0.598698,0.000651,0.001085,0.884668,0.038461,0,0,0.530841,2,1,0
0xA63E718032149b6a897ba8439bb063ddA2B6245d,1,0.6,0,0,0.77863,0.074074,0.055712,0,0.516541,4,0,0
0xc9e024e9000bbf51c114425c52DcF56310941Fa3,1,0.775997,0.190747,0,0.729121,0.21875,0.277247,0.312152,0.697644,14,2,2
0x9ed0284D5f8C981AaD7e801Cb0CD58780c3c8E18,1,0.6,0,0,0.886224,0.122807,0.186727,0.000999,0.556146,7,0,1
0x4fC402d011EfdB468a2AC5d1bD17F76041F95b98,1,0.6,0,0,0.710905,0.056603,0.761882,0.874984,0.474097,3,0,1
0xF57340E40B46E5871cC11b01d6510244aBfcC06a,1,0.6,0,0,0.498818,0.074074,0.074588,0,0.455362,4,0,0
0x40d1617F094dc5F26ee7aa8b862f6316335cA9E3,1,0.6,0,0,0.671686,0.107142,0.082905,0,0.497759,6,0,0
0xF156d027042843143b5C609D1bf5186A783CAd54,1,0.6,0,0,0.878373,0.019607,0,0.000999,0.529216,1,0,1
0x8A4671e78DA04f2258bAdb3391994188390950d0,1,0.657567,0.048012,0,0.802367,0.264705,0.681589,0.734523,0.580823,18,2,2
0xEfA7Aa0dC31017e059B7731C47C4493904905A35,1,0.6,0,0,0.804983,0.038461,0.180193,0,0.530216,2,0,0
0xB8e551536AfEEAd0e108a0B464180Ad5236D28B6,1,0.6,0,0,0.879107,0.056603,0,0.000999,0.532605,3,0,1
0x6969A1d94F4E7DDC1cf1CaF73174921D9028DF2F,1,0.6,0,0,0.860176,0.019607,0,0.000999,0.525133,1,0,1
0x066AABbfFeDAc1b70c0a651db8186c78Cd98096e,1,0.6,0,0,0.869359,0.038461,0,0.001996,0.528739,2,0,2
0x0eACe202e00B2e4b39e90D0c5d724E453c872405,1,0.545273,0.029229,0.047784,0.743234,0.074074,0.042879,0,0.442377,4,1,0
0x5c1FEb5A679F9659d8DE58Fc768B8246BEA7d6B1,1,0.6,0,0,0.878373,0.019607,0,0.000999,0.529216,1,0,1
0x8BDFf39E5C642e650b4206d93854Da60C2dec0d8,1,0.6,0,0,0.718877,0.166666,0.072528,0,0.512673,10,0,0
0x738775d7a1A8F8D32ecf3c7a5a08b46d2DFed6e8,1,0.6,0,0,0.34046,0.038461,0.050151,0,0.415185,2,0,0
0x1761042B43590A755478D1325b6424885e6ab8B5,1,0.582435,0.008966,0.014854,0.869392,0.090909,0,0.000999,0.512671,5,1,1
0xf2931400A2E42d15919644b884424CEC166006Fd,1,0.6,0,0,0.716699,0.056603,0.001796,0,0.496368,3,0,0
0x7b94BD93DC0c77E9459c652324Dfa44b87e2a61E,1,0.6,0,0,0.878519,0.019607,0,0.000999,0.529248,1,0,1
0xb52333Ea16949c7629E6bdE56773c6F363B48fC2,1,0.6,0,0,0.324268,0.019607,0.000799,0.003984,0.405498,1,0,1
0x2C142D508f6D5DB3FbbBAC50513dC5C68C6981ff,1,0.6,0,0,0.426675,0.137931,0.550763,0.848461,0.402675,8,0,1
0x3438Ec146a452913CDf1375561e6CA49A51eE494,1,0.6,0,0,0.86041,0.038461,0.015166,0,0.528254,2,0,0
0x70CDE4F1AA4C53e89Cc91DE029c1AA3320cE46A7,1,0.487702,0.064614,0.103243,0.724188,0.038461,0.128768,0,0.374377,2,1,0
0xF3449E4c65D1E3c3Fe756CFD8C06c4E7567083C1,1,0.523198,0.042179,0.068377,0.785278,0.137931,0.089087,0,0.434748,8,2,0
0x922cd90673733CA60e0A056Fd4deE4D8ADA35e05,1,0.595245,0.00239,0.003977,0.776661,0.122807,0.12679,0,0.520963,7,1,0
0xBcD457eE781f0E129d79091F4291005331c564E4,1,0.6,0,0,0.398291,0.019607,0.009704,0.046711,0.41825,1,0,1
0xA3AaAF38030114067Ff4317433DcCa1573A802e5,1,0.6,0,0,0.878176,0.107142,0.182605,0,0.552745,6,0,0
0x704A05D05183551156546a63e0c44Ecf683F82f7,1,0.6,0,0,0.631342,0.038461,0.001996,0,0.475612,2,0,0
0x56543712b57c142b4525EA3174b48e240a97b396,1,0.6,0,0,0.869066,0.019607,0,0.000999,0.527128,1,0,1
0x82c353F7e711206e45c903783B10D91573136E1C,1,0.6,0,0,0.071438,0.019607,0.000799,0.003984,0.352024,1,0,1
0x9B6325490E423F7bD65A680d179690DB5CCe9b29,1,0.6,0,0,0.878424,0.019607,0.000199,0.000999,0.529245,1,0,1
0x4575Ab97AFA4a7b67395aAf3cb306784B0BEBe04,1,0.600142,0.000106,0,0.870222,0.056603,0,0.000998,0.530761,3,1,1
0xbEFf465e0973692148eC86779070F101c14034e9,1,0.6,0,0,0.145781,0.479166,0.961597,0.920267,0.398281,46,0,1
0x96F3Fc268adB0a5aDe2582b61A443E5D62c1BeFA,1,0.600124,0.000093,0,0.876896,0.056603,0,0.000998,0.532239,3,1,1
0xED1A2aCA2E8C4A3C5a16CAD00C4f007B9e8f7f01,1,0.6,0,0,0.865189,0.019607,0,0.000999,0.526258,1,0,1
0x4B86a6D2c2C5E8bff8D3f3129C2eC4059821989b,1,0.341609,0.198068,0.285827,0.89108,0.438202,0.839645,0.030011,0.319668,39,3,1
0xEF1ca304Ca893D15a5fdde174C806f779BaB7485,1,0.6,0,0,0.873035,0.019607,0,0.000999,0.528019,1,0,1
0x9D6973898247765c6F4e8F3a195b421f2C3f386e,1,0.6,0,0,0.869067,0.019607,0,0.000999,0.527128,1,0,1
0x71Fb48f6d9b023B095Efb392a1Da359c873A0d46,1,0.6,0,0,0.878899,0.019607,0,0.000999,0.529334,1,0,1
0x06D6fc0359289589249e219463E7E2C3e4F26b7a,1,0.6,0,0,0.878373,0.019607,0,0.000999,0.529216,1,0,1
0xE6bea3bD747e81F725c2bA26C0566B2A794FEF54,1,0.553485,0.479505,0.414808,0.724381,0.691358,0.72429,0.0354,0.462389,112,6,1
0xC67f492aBc91fC2aE106610dB5C0096cC544374A,1,0.6,0,0,0.781134,0.074074,0.081894,0,0.519392,4,0,0
0x8B7aC7da01fF680487D20d1EEA13247C910cF3f0,1,0.6,0,0,0.769592,0.166666,0.070286,0,0.523873,10,0,0
0xc83654F54f139732C6C04991d527045869eDeeCf,1,0.6,0,0,0.665179,0.074074,0.003587,0,0.486464,4,0,0
0x12FEa79122404634A03Df7Ce08e984E6C128FC21,1,0.6,0,0,0.85951,0.019607,0,0.000999,0.524984,1,0,1
0x861bA5d2AFd78D91b7503F19b70aD97BF30Fbf00,1,0.6,0,0,0.77253,0.137931,0.054641,0,0.520657,8,0,0
0x151b20313f2759A499766dEBff5E0e4F8c768824,1,0.461701,0.082452,0.130261,0.726741,0.305555,0.054284,0,0.360306,22,2,0
0x930bb3e6E9E0094E6adC587ce63FaD5c3856E59f,1,0.6,0,0,0.869333,0.038461,0,0.001996,0.528733,2,0,2
0xF66E602eE8C33300A2ee45E14c10B20872E97d45,1,0.6,0,0,0.869391,0.019607,0,0.000999,0.527201,1,0,1
0x4E4C4D1C233251d84F4Dcc2C3547f8248e108f3f,1,0.84949,0.332127,0,0.731506,0.565217,0.728865,0.059219,0.837225,65,2,1
0x91044BAe08C5F27AAdD8E5ba1534D915B88F34eE,1,0.6,0,0,0.773307,0.038461,0,0.001996,0.507158,2,0,2
0xe5DEc95e016d3394E2CB2DDB93b1aAB9B5A8905E,1,0.6,0,0,0.860478,0.038461,0.004182,0,0.527311,2,0,0
0x42fcBe5EBc153BfCfd03B0BdDDB079286F2EDD1e,1,0.6,0,0,0.718575,0.074074,0.004182,0,0.498527,4,0,0
0xbDc71EEd90a084e174071fcb850108160A8CD1F4,1,0.6,0,0,0.7644,0.074074,0.012638,0,0.509575,4,0,0
0xFaB509Fa9E36F7311DD2Dc940F472554Da1bAF2e,1,0.6,0,0,0.837266,0.230769,0.511957,0.832242,0.500149,15,0,2
0xbBced90FAaC4490bf5e958aa45b06C43D2Aa1048,1,0.855781,0.347289,0,0.822523,0.382716,0.989689,0,0.859432,31,2,0
0x4fd76D202214B800803736CD296374cB0cDEaDD0,1,0.6,0,0,0.602515,0.019607,0.002195,0.01088,0.466437,1,0,1
0x167C63274Ac6BC7DF50bdfA414dDa2108C88feAc,1,0.6,0,0,0.86929,0.056603,0,0.001996,0.530305,3,0,2
0xF5f039908f4D6cED725AD4cd9beE1Aec7bbF5A0C,1,0.6,0,0,0.886403,0.019607,0.000199,0.000999,0.531033,1,0,1
0x7b3d2ec86F73A358ab94d6AA2B61c463D395F945,1,0.082981,0.651465,0.757002,0.361533,0.333333,0.915231,0.777728,0.047224,25,1,1
0xBC9c7D14055ce54BBd8fd5F4873dBf54B055b961,1,0.583743,0.008285,0.013733,0.885735,0.090909,0.041594,0,0.521631,5,1,0
0x546585BAbEb0fBbB88f6C717f1D0c73a9d5e9B86,1,0.6,0,0,0.602952,0.038461,0.056603,0,0.474006,2,0,0
0xe68a1467BCb2AC973dbDC8C15B7640a8bdfB1799,1,0.6,0,0,0.876959,0.019607,0,0.000999,0.528899,1,0,1
0x900a38a281cC4E331F3b48F3D7ee1F28310e1380,1,0.6,0,0,0.576046,0.315068,0.172048,0.306999,0.471565,23,0,2
0xCeBd30b23D182dBd17022E9111236bf2d070926E,1,0.591924,0.004075,0.006774,0.869399,0.074074,0,0.000999,0.522441,4,1,1
0xE67Ca13B761B662485176A9cE3197383F786D792,1,0.6,0,0,0.884997,0.107142,0.073902,0.000999,0.544745,6,0,1
0x6a04A8f552666AF8C5c47E4463850E62446c6196,1,0.6,0,0,0.812925,0.242424,0.102978,0,0.543024,16,0,0
0x4841F0B35eBF245174269ae12B23075e1b6d8df3,1,0.55022,0.026424,0.043278,0.885033,0.074074,0.002394,0.000999,0.476375,4,1,1
0xBdD1549205936d3A875Cc72223f6c06f56199273,1,0.6,0,0,0.546378,0.107142,0.003785,0,0.462711,6,0,0
0x4F7c671Ee1B7655Dbafb17766fcD93b43840a5a5,1,0.293664,0.58227,0.642102,0.525457,0.137931,0.807662,0,0.145677,8,2,0
0xc627fc8eFBd6A3bf739b0E45D5CcfFd0a97e1C46,1,0.6,0,0,0.869078,0.019607,0,0.000999,0.527131,1,0,1
0x9d23DE5540A3a1dFbF24D391A9427b2BE3797C8c,1,0.6,0,0,0.884599,0.074074,0,0.001996,0.535257,4,0,2
0xb2B21eBE6D7534Dc1e5a5F8c13CC8c7e95c9e179,1,0.6,0,0,0.772766,0.166666,0.081894,0,0.525598,10,0,0
0x6e44aACEFf87C1B438c429E9A10a53AE7805E54B,1,0.6,0,0,0.87004,0.074074,0.048162,0,0.536389,4,0,0
0x81ae2Ab2Da4Dd1D05D4A074F32266E7E7AADe14B,1,0.6,0,0,0.876934,0.056603,0,0.001996,0.532019,3,0,2
0xbe00263B04DfDdB37Df887063dc9eEB44878eb10,1,0.6,0,0,0.885513,0.074074,0,0.001996,0.535462,4,0,2
0x166d83B6fFb9A7A7A5bdEdc391aaA8531EC0530C,1,0.6,0,0,0.8694,0.038461,0,0.001996,0.528748,2,0,2
0x6d5D5d4625B6e9711560e72c75CcCD53416C722e,1,0.6,0,0,0.800275,0.038461,0.02591,0,0.515689,2,0,0
0xEb51FFe7b3c0078991ff9b95B4E409DCBaEa42c4,1,0.251668,0.293398,0.408998,0.287393,0.056603,0.333244,0,0.110905,3,1,0
0xa6e96DBB6B7d2c12062E70d3dEc87C4FE23f961f,1,0.6,0,0,0.869022,0.038461,0,0.001996,0.528664,2,0,2
0xc2ff68B78Fb73E4655eB84c0471d5996b3C00607,1,0.6,0,0,0.245051,0.038461,0.007739,0.006951,0.390297,2,0,1
